word	POS	label	negative	neutral	positive
!-rawr	interjection	neutral	0.002	0.998	0
!-rofl	interjection	positive	0	0.001	0.999
!-sheesh	interjection	neutral	0.002	0.998	0
!-shhh	interjection	positive	0	0.001	0.999
!-shucks	interjection	neutral	0	0.998	0.002
!-srry	interjection	negative	0.999	0.001	0
!-sry	interjection	negative	0.999	0.001	0
!-sup	interjection	positive	0	0.001	0.999
!-teehee	interjection	positive	0	0.001	0.999
!-tgif	interjection	positive	0	0.001	0.999
!-thankyou	interjection	positive	0	0.001	0.999
!-tsk	interjection	negative	0.999	0.001	0
!-ttyl	interjection	positive	0	0.001	0.999
!-tut	interjection	neutral	0.002	0.998	0
!-ty	interjection	positive	0	0.001	0.999
!-uggh	interjection	negative	0.999	0.001	0
!-ughh	interjection	negative	0.999	0.001	0
!-ughhh	interjection	negative	0.999	0.001	0
!-ughhhh	interjection	negative	0.999	0.001	0
!-ughhhhh	interjection	negative	0.999	0.001	0
!-uh	interjection	neutral	0.002	0.998	0
!-uh-oh	interjection	neutral	0.002	0.998	0
!-uhh	interjection	neutral	0.002	0.998	0
!-uhhh	interjection	neutral	0.002	0.998	0
!-uhm	interjection	positive	0	0.001	0.999
!-um	interjection	positive	0	0.099	0.901
!-umm	interjection	neutral	0.002	0.998	0
!-ummm	interjection	positive	0	0.001	0.999
!-ummmm	interjection	neutral	0.002	0.998	0
!-urgh	interjection	negative	0.999	0.001	0
!-w/e	interjection	positive	0	0.001	0.999
!-w00t	interjection	positive	0	0.001	0.999
!-waaah	interjection	negative	0.999	0.001	0
!-wah	interjection	negative	0.999	0.001	0
!-wahhh	interjection	negative	0.999	0.001	0
!-wahoo	interjection	positive	0	0.001	0.999
!-wakey	interjection	positive	0	0.001	0.999
!-wassup	interjection	positive	0	0.001	0.999
!-weee	interjection	positive	0	0.001	0.999
!-welll	interjection	neutral	0.002	0.998	0
!-whew	interjection	positive	0	0.001	0.999
!-whoo	interjection	positive	0	0.001	0.999
!-whooo	interjection	positive	0	0.001	0.999
!-whoops	interjection	neutral	0	0.997	0.003
!-whoot	interjection	positive	0	0.001	0.999
!-whyyy	interjection	negative	0.999	0.001	0
!-whyyyy	interjection	negative	0.999	0.001	0
!-woah	interjection	positive	0	0.001	0.999
!-wohoo	interjection	positive	0	0.001	0.999
!-womp	interjection	negative	0.999	0.001	0
!-woo	interjection	positive	0	0.001	0.999
!-woof	interjection	positive	0	0.001	0.999
!-wooh	interjection	positive	0	0.001	0.999
!-woohoo	interjection	positive	0	0.001	0.999
!-woohooo	interjection	positive	0	0.001	0.999
!-wooo	interjection	positive	0	0.001	0.999
!-woooo	interjection	positive	0	0.001	0.999
!-wooooo	interjection	positive	0	0.001	0.999
!-woop	interjection	positive	0	0.001	0.999
!-woops	interjection	neutral	0.002	0.998	0
!-woot	interjection	positive	0	0.001	0.999
!-wtf	interjection	negative	0.999	0.001	0
!-wth	interjection	negative	0.999	0.001	0
!-ya	interjection	positive	0	0.001	0.999
!-yaaaay	interjection	positive	0	0.001	0.999
!-yaaay	interjection	positive	0	0.001	0.999
!-yaay	interjection	positive	0	0.001	0.999
!-yah	interjection	positive	0	0.001	0.999
!-yayy	interjection	positive	0	0.001	0.999
!-yayyy	interjection	positive	0	0.001	0.999
!-yayyyy	interjection	positive	0	0.001	0.999
!-yeaa	interjection	neutral	0	0.74	0.26
!-yeaaah	interjection	neutral	0.002	0.998	0
!-yeaah	interjection	positive	0	0.001	0.999
!-yeahh	interjection	positive	0	0.001	0.999
!-yeahhh	interjection	positive	0	0.001	0.999
!-yeahhhh	interjection	positive	0	0.001	0.999
!-yeap	interjection	positive	0	0.001	0.999
!-yeay	interjection	positive	0	0.001	0.999
!-yeh	interjection	neutral	0.002	0.998	0
!-yess	interjection	positive	0	0.001	0.999
!-yesss	interjection	positive	0	0.001	0.999
!-yessss	interjection	positive	0	0.001	0.999
!-yesssss	interjection	positive	0	0.001	0.999
!-yey	interjection	positive	0	0.001	0.999
!-yikes	interjection	negative	0.999	0.001	0
!-yipee	interjection	positive	0	0.001	0.999
!-yippee	interjection	positive	0	0.001	0.999
!-yo	interjection	positive	0	0.001	0.999
!-yuck	interjection	negative	0.999	0.001	0
!-yuk	interjection	negative	0.999	0.001	0
!-yum	interjection	positive	0	0.001	0.999
!-yumm	interjection	positive	0	0.001	0.999
!-yummm	interjection	positive	0	0.001	0.999
!-yup	interjection	positive	0	0.001	0.999
!-zomg	interjection	neutral	0	0.998	0.002
#-#	hashtag	neutral	0	0.998	0.002
#-#andyclemmensen	hashtag	positive	0	0.001	0.999
#-#andyhurleyday	hashtag	positive	0	0.001	0.999
#-#asot400	hashtag	neutral	0.002	0.998	0
#-#bgt	hashtag	neutral	0.002	0.998	0
#-#bradiewebb	hashtag	neutral	0	0.998	0.002
#-#bsb	hashtag	neutral	0.002	0.998	0
#-#chuckmemondays	hashtag	neutral	0	0.998	0.002
#-#delongeday	hashtag	positive	0	0.001	0.999
#-#dontyouhate	hashtag	negative	0.999	0.001	0
#-#e3	hashtag	neutral	0.002	0.998	0
#-#f1	hashtag	neutral	0.002	0.998	0
#-#fail	hashtag	negative	0.999	0.001	0
#-#fb	hashtag	neutral	0.002	0.998	0
#-#ff	hashtag	positive	0	0.001	0.999
#-#flylady	hashtag	positive	0	0.001	0.999
#-#followfriday	hashtag	positive	0	0.001	0.999
#-#hhrs	hashtag	positive	0	0.001	0.999
#-#inaperfectworld	hashtag	negative	0.999	0.001	0
#-#iranelection	hashtag	negative	0.999	0.001	0
#-#iremember	hashtag	neutral	0.002	0.998	0
#-#marsiscoming	hashtag	neutral	0	0.998	0.002
#-#mcflyforgermany	hashtag	positive	0	0.001	0.999
#-#mileymonday	hashtag	positive	0	0.001	0.999
#-#mmwanted	hashtag	neutral	0	0.998	0.002
#-#musicmonday	hashtag	positive	0	0.001	0.999
#-#myweakness	hashtag	neutral	0	0.998	0.002
#-#shaunjumpnow	hashtag	positive	0	0.001	0.999
#-#squarespace	hashtag	neutral	0.002	0.998	0
#-#tcot	hashtag	positive	0	0.001	0.999
#-#trackle	hashtag	neutral	0.002	0.998	0
#-#xboxe3	hashtag	neutral	0.002	0.998	0
$-#1	numeral	neutral	0	0.998	0.002
$-#2	numeral	neutral	0	0.998	0.002
$-#3	numeral	neutral	0	0.998	0.002
$-$1	numeral	neutral	0	0.998	0.002
$-$10	numeral	neutral	0.002	0.998	0
$-$100	numeral	neutral	0.002	0.998	0
$-$20	numeral	neutral	0	0.998	0.002
$-$200	numeral	neutral	0.002	0.998	0
$-$5	numeral	neutral	0	0.998	0.002
$-$50	numeral	neutral	0.002	0.998	0
$-0	numeral	neutral	0.002	0.998	0
$-07	numeral	neutral	0.002	0.998	0
$-08	numeral	neutral	0.002	0.998	0
$-09	numeral	neutral	0	0.996	0.004
$-1	numeral	neutral	0	0.998	0.002
$-1	0	neutral	0	0.998	0.002
$-1.5	numeral	neutral	0.002	0.998	0
$-1/2	numeral	neutral	0.002	0.998	0
$-10	numeral	neutral	0.002	0.998	0
$-10%	numeral	neutral	0	0.998	0.002
$-10	0	neutral	0.001	0.998	0.001
$-100	numeral	neutral	0	0.998	0.002
$-100%	numeral	neutral	0	0.998	0.002
$-100	0	positive	0	0.001	0.999
$-1000	numeral	neutral	0	0.998	0.002
$-101	numeral	neutral	0.002	0.998	0
$-102	numeral	neutral	0.002	0.998	0
$-10:30	numeral	neutral	0.002	0.998	0
$-10am	numeral	neutral	0.002	0.998	0
$-10k	numeral	neutral	0	0.998	0.002
$-10pm	numeral	negative	0.819	0.181	0
$-10th	numeral	neutral	0.002	0.998	0
$-11	numeral	neutral	0.002	0.998	0
$-11:11	numeral	neutral	0	0.998	0.002
$-11:30	numeral	neutral	0.002	0.998	0
$-11am	numeral	neutral	0	0.998	0.002
$-11pm	numeral	neutral	0.002	0.998	0
$-12	numeral	neutral	0.002	0.998	0
$-120	numeral	neutral	0	0.998	0.002
$-12:30	numeral	neutral	0.002	0.998	0
$-12am	numeral	neutral	0.002	0.998	0
$-12th	numeral	neutral	0	0.998	0.002
$-13	numeral	neutral	0	0.998	0.002
$-14	numeral	neutral	0.002	0.998	0
$-140	numeral	positive	0	0.001	0.999
$-14th	numeral	neutral	0	0.998	0.002
$-15	numeral	neutral	0.002	0.998	0
$-150	numeral	neutral	0.002	0.998	0
$-15th	numeral	positive	0	0.001	0.999
$-16	numeral	neutral	0	0.998	0.002
$-16th	numeral	neutral	0	0.998	0.002
$-17	numeral	neutral	0	0.998	0.002
$-17th	numeral	neutral	0	0.998	0.002
$-18	numeral	neutral	0.002	0.998	0
$-182	numeral	neutral	0	0.998	0.002
$-18th	numeral	neutral	0	0.998	0.002
$-19	numeral	neutral	0	0.998	0.002
$-19th	numeral	neutral	0	0.998	0.002
$-1:30	numeral	neutral	0.002	0.998	0
$-1am	numeral	neutral	0.002	0.998	0
$-1hr	numeral	neutral	0.002	0.998	0
$-1pm	numeral	neutral	0.002	0.998	0
$-1st	numeral	neutral	0	0.998	0.002
$-2	numeral	neutral	0.002	0.998	0
$-2-0	numeral	neutral	0.002	0.998	0
$-2-3	numeral	negative	0.999	0.001	0
$-2.0	numeral	neutral	0	0.998	0.002
$-2.5	numeral	neutral	0.002	0.998	0
$-20	numeral	neutral	0	0.998	0.002
$-20%	numeral	neutral	0.002	0.998	0
$-200	numeral	neutral	0	0.998	0.002
$-2000	numeral	neutral	0.002	0.998	0
$-2006	numeral	neutral	0	0.998	0.002
$-2007	numeral	neutral	0.002	0.998	0
$-2008	numeral	neutral	0.002	0.998	0
$-2009	numeral	neutral	0	0.998	0.002
$-2010	numeral	neutral	0.002	0.998	0
$-20th	numeral	neutral	0	0.998	0.002
$-21	numeral	neutral	0	0.998	0.002
$-22	numeral	neutral	0.002	0.998	0
$-22nd	numeral	neutral	0	0.998	0.002
$-23	numeral	neutral	0	0.998	0.002
$-23rd	numeral	neutral	0.002	0.998	0
$-24	numeral	neutral	0.002	0.998	0
$-24th	numeral	neutral	0	0.998	0.002
$-25	numeral	neutral	0	0.998	0.002
$-250	numeral	neutral	0.002	0.998	0
$-26	numeral	neutral	0.002	0.998	0
$-27	numeral	neutral	0	0.998	0.002
$-28	numeral	neutral	0	0.998	0.002
$-29	numeral	neutral	0.002	0.998	0
$-2:30	numeral	neutral	0.002	0.998	0
$-2am	numeral	neutral	0.002	0.998	0
$-2hrs	numeral	negative	0.999	0.001	0
$-2nd	numeral	neutral	0.002	0.998	0
$-2pm	numeral	neutral	0.002	0.998	0
$-3	numeral	neutral	0.002	0.998	0
$-3-4	numeral	neutral	0.002	0.998	0
$-3.0	numeral	neutral	0.002	0.998	0
$-3.5	numeral	neutral	0.002	0.998	0
$-30	numeral	neutral	0.002	0.998	0
$-300	numeral	neutral	0.001	0.998	0.001
$-3000	numeral	neutral	0.002	0.998	0
$-31	numeral	neutral	0.002	0.998	0
$-32	numeral	neutral	0.002	0.998	0
$-33	numeral	neutral	0	0.998	0.002
$-34	numeral	neutral	0.002	0.998	0
$-35	numeral	neutral	0.002	0.998	0
$-36	numeral	neutral	0.002	0.998	0
$-360	numeral	neutral	0.002	0.998	0
$-37	numeral	neutral	0	0.998	0.002
$-38	numeral	neutral	0.002	0.998	0
$-39	numeral	neutral	0	0.998	0.002
$-3:00	numeral	neutral	0.002	0.998	0
$-3:30	numeral	neutral	0.002	0.998	0
$-3am	numeral	neutral	0.002	0.998	0
$-3pm	numeral	neutral	0.002	0.998	0
$-3rd	numeral	neutral	0.002	0.998	0
$-4	numeral	neutral	0.002	0.998	0
$-4.30	numeral	negative	0.999	0.001	0
$-4.5	numeral	neutral	0.002	0.998	0
$-40	numeral	neutral	0.002	0.998	0
$-400	numeral	neutral	0	0.998	0.002
$-41	numeral	neutral	0	0.998	0.002
$-42	numeral	positive	0	0.001	0.999
$-420	numeral	positive	0	0.001	0.999
$-44	numeral	neutral	0.002	0.998	0
$-447	numeral	negative	0.999	0.001	0
$-45	numeral	neutral	0.002	0.998	0
$-46	numeral	neutral	0.002	0.998	0
$-48	numeral	neutral	0.002	0.998	0
$-4:30	numeral	negative	0.999	0.001	0
$-4am	numeral	neutral	0.002	0.998	0
$-4pm	numeral	neutral	0.002	0.998	0
$-5	numeral	neutral	0.002	0.998	0
$-5.30	numeral	negative	0.999	0.001	0
$-50	numeral	neutral	0	0.998	0.002
$-50%	numeral	neutral	0.002	0.998	0
$-500	numeral	neutral	0	0.998	0.002
$-55	numeral	neutral	0.002	0.998	0
$-5:00	numeral	neutral	0.002	0.998	0
$-5:30	numeral	neutral	0.002	0.998	0
$-5am	numeral	negative	0.999	0.001	0
$-5pm	numeral	neutral	0.002	0.998	0
$-6	numeral	neutral	0.002	0.998	0
$-6.30	numeral	negative	0.999	0.001	0
$-60	numeral	neutral	0.002	0.998	0
$-600	numeral	neutral	0.002	0.998	0
$-62	numeral	neutral	0.002	0.998	0
$-64	numeral	neutral	0.002	0.998	0
$-65	numeral	neutral	0.002	0.998	0
$-69	numeral	neutral	0	0.998	0.002
$-6:30	numeral	negative	0.999	0.001	0
$-6am	numeral	negative	0.999	0.001	0
$-6pm	numeral	neutral	0.002	0.998	0
$-7	numeral	neutral	0.002	0.998	0
$-7.30	numeral	neutral	0.002	0.998	0
$-70	numeral	neutral	0.002	0.998	0
$-700	numeral	neutral	0	0.998	0.002
$-72	numeral	neutral	0.002	0.998	0
$-75	numeral	neutral	0.002	0.998	0
$-7:00	numeral	neutral	0.001	0.998	0
$-7:30	numeral	neutral	0.002	0.998	0
$-7am	numeral	neutral	0.004	0.996	0
$-7pm	numeral	neutral	0	0.998	0.002
$-8	numeral	neutral	0.002	0.998	0
$-80	numeral	neutral	0	0.998	0.002
$-80's	numeral	neutral	0	0.998	0.002
$-800	numeral	neutral	0.002	0.998	0
$-80s	numeral	positive	0	0.001	0.999
$-85	numeral	neutral	0.002	0.998	0
$-88	numeral	neutral	0.002	0.998	0
$-8:00	numeral	neutral	0.002	0.998	0
$-8:30	numeral	neutral	0.002	0.998	0
$-8am	numeral	neutral	0.002	0.998	0
$-8pm	numeral	neutral	0.002	0.998	0
$-9	numeral	neutral	0.002	0.998	0
$-90	numeral	neutral	0.002	0.998	0
$-90%	numeral	neutral	0	0.998	0.002
$-90's	numeral	neutral	0	0.998	0.002
$-90210	numeral	neutral	0	0.998	0.002
$-90s	numeral	neutral	0	0.998	0.002
$-95	numeral	neutral	0.002	0.998	0
$-97	numeral	neutral	0.002	0.998	0
$-98	numeral	neutral	0.002	0.998	0
$-99	numeral	neutral	0	0.998	0.002
$-9:30	numeral	neutral	0.002	0.998	0
$-9am	numeral	negative	0.999	0.001	0
$-9pm	numeral	neutral	0.002	0.998	0
$-e3	numeral	neutral	0.002	0.998	0
$-eight	numeral	neutral	0.002	0.998	0
$-fifteen	numeral	neutral	0.002	0.998	0
$-five	numeral	neutral	0.002	0.998	0
$-four	numeral	neutral	0.002	0.998	0
$-nine	numeral	neutral	0.002	0.998	0
$-one	numeral	neutral	0	0.998	0.002
$-seven	numeral	neutral	0.002	0.998	0
$-six	numeral	neutral	0.002	0.998	0
$-three	numeral	neutral	0.002	0.998	0
$-two	numeral	neutral	0	0.998	0.002
$-zero	numeral	negative	0.999	0.001	0
&-&	cord.conj	neutral	0	0.998	0.002
&-&&	cord.conj	neutral	0	0.998	0.002
&-(&	cord.conj	neutral	0.002	0.998	0
&-	cord.conj	neutral	0	0.998	0.002
&-and	cord.conj	neutral	0	0.998	0.002
&-and/or	cord.conj	neutral	0	0.998	0.002
&-bt	cord.conj	neutral	0.002	0.998	0
&-buh	cord.conj	neutral	0.002	0.998	0
&-but	cord.conj	neutral	0.002	0.998	0
&-either	cord.conj	neutral	0.002	0.998	0
&-except	cord.conj	negative	0.999	0.001	0
&-n	cord.conj	neutral	0.002	0.998	0
&-nd	cord.conj	neutral	0.002	0.998	0
&-neither	cord.conj	negative	0.999	0.001	0
&-nor	cord.conj	neutral	0.002	0.998	0
&-or	cord.conj	neutral	0	0.998	0.002
&-plus	cord.conj	neutral	0	0.998	0.002
	-!	positive	0	0.001	0.999
	-!!	neutral	0	0.998	0.002
	-!!!	neutral	0	0.998	0.002
	-!!!!	neutral	0	0.998	0.002
